season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1973,1,1973-09-16T11:00:00-05:00,Dolphins,21,13,49ers
1973,2,1973-09-23T11:00:00-05:00,Raiders,12,7,Dolphins
1973,3,1973-09-30T11:00:00-05:00,Dolphins,44,23,Patriots
1973,4,1973-10-07T11:00:00-05:00,Dolphins,31,3,Jets
1973,5,1973-10-15T11:00:00-05:00,Browns,9,17,Dolphins
1973,6,1973-10-21T11:00:00-05:00,Dolphins,27,6,Bills
1973,7,1973-10-28T11:00:00-05:00,Patriots,14,30,Dolphins
1973,8,1973-11-04T11:00:00-05:00,Jets,14,24,Dolphins
1973,9,1973-11-11T11:00:00-05:00,Dolphins,44,0,Colts
1973,10,1973-11-18T11:00:00-05:00,Bills,0,17,Dolphins
1973,11,1973-11-22T11:00:00-05:00,Cowboys,7,14,Dolphins
1973,12,1973-12-03T11:00:00-05:00,Dolphins,30,26,Steelers
1973,13,1973-12-09T11:00:00-05:00,Colts,16,3,Dolphins
1973,14,1973-12-15T11:00:00-05:00,Dolphins,34,7,Lions
1973,15,1973-12-23T11:00:00-05:00,Dolphins,34,16,Bengals
1973,16,1973-12-30T11:00:00-05:00,Dolphins,27,10,Raiders
1973,17,1974-01-13T11:00:00-05:00,Dolphins,24,7,Vikings
