season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1975,1,1975-09-22T11:00:00-05:00,Dolphins,21,31,Raiders
1975,2,1975-09-28T11:00:00-05:00,Patriots,14,22,Dolphins
1975,3,1975-10-05T11:00:00-05:00,Packers,7,31,Dolphins
1975,4,1975-10-12T11:00:00-05:00,Dolphins,24,16,Eagles
1975,5,1975-10-19T11:00:00-05:00,Jets,0,43,Dolphins
1975,6,1975-10-26T11:00:00-05:00,Bills,30,35,Dolphins
1975,7,1975-11-02T11:00:00-05:00,Bears,13,46,Dolphins
1975,8,1975-11-09T11:00:00-05:00,Dolphins,27,7,Jets
1975,9,1975-11-16T11:00:00-05:00,Oilers,20,19,Dolphins
1975,10,1975-11-23T11:00:00-05:00,Dolphins,17,33,Colts
1975,11,1975-12-01T11:00:00-05:00,Dolphins,20,7,Patriots
1975,12,1975-12-07T11:00:00-05:00,Dolphins,31,21,Bills
1975,13,1975-12-14T11:00:00-05:00,Colts,10,7,Dolphins
1975,14,1975-12-20T11:00:00-05:00,Dolphins,14,13,Broncos
1975,17,1976-01-18T14:14:00-05:00,Steelers,21,17,Cowboys
