season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1984,1,1984-09-02T00:00:00+00:00,Bears,34,14,Buccaneers
1984,1,1984-09-02T00:00:00+00:00,Bills,17,21,Patriots
1984,1,1984-09-02T00:00:00+00:00,Broncos,20,17,Bengals
1984,1,1984-09-02T00:00:00+00:00,Colts,14,23,Jets
1984,1,1984-09-02T00:00:00+00:00,Giants,28,27,Eagles
1984,1,1984-09-02T00:00:00+00:00,Lions,27,30,49ers
1984,1,1984-09-02T00:00:00+00:00,Oilers,14,24,Raiders
1984,1,1984-09-02T00:00:00+00:00,Packers,24,23,Cardinals
1984,1,1984-09-02T00:00:00+00:00,Redskins,17,35,Dolphins
1984,1,1984-09-02T00:00:00+00:00,Saints,28,36,Falcons
1984,1,1984-09-02T00:00:00+00:00,Steelers,27,37,Chiefs
1984,1,1984-09-02T00:00:00+00:00,Vikings,13,42,Chargers
1984,1,1984-09-03T00:00:00+00:00,Rams,13,20,Cowboys
1984,1,1984-09-03T00:00:00+00:00,Seahawks,33,0,Browns
1984,2,1984-09-06T00:00:00+00:00,Jets,17,23,Steelers
1984,2,1984-09-09T00:00:00+00:00,Bears,27,0,Broncos
1984,2,1984-09-09T00:00:00+00:00,Bengals,22,27,Chiefs
1984,2,1984-09-09T00:00:00+00:00,Cardinals,37,7,Bills
1984,2,1984-09-09T00:00:00+00:00,Dolphins,28,7,Patriots
1984,2,1984-09-09T00:00:00+00:00,Eagles,19,17,Vikings
1984,2,1984-09-09T00:00:00+00:00,Falcons,24,27,Lions
1984,2,1984-09-09T00:00:00+00:00,Giants,28,7,Cowboys
1984,2,1984-09-09T00:00:00+00:00,Oilers,21,35,Colts
1984,2,1984-09-09T00:00:00+00:00,Raiders,28,7,Packers
1984,2,1984-09-09T00:00:00+00:00,Rams,20,17,Browns
1984,2,1984-09-09T00:00:00+00:00,Saints,17,13,Buccaneers
1984,2,1984-09-09T00:00:00+00:00,Seahawks,31,17,Chargers
1984,2,1984-09-10T00:00:00+00:00,49ers,37,31,Redskins
1984,3,1984-09-16T00:00:00+00:00,49ers,30,20,Saints
1984,3,1984-09-16T00:00:00+00:00,Browns,14,24,Broncos
1984,3,1984-09-16T00:00:00+00:00,Buccaneers,21,17,Lions
1984,3,1984-09-16T00:00:00+00:00,Chargers,31,14,Oilers
1984,3,1984-09-16T00:00:00+00:00,Chiefs,20,22,Raiders
1984,3,1984-09-16T00:00:00+00:00,Colts,33,34,Cardinals
1984,3,1984-09-16T00:00:00+00:00,Cowboys,23,17,Eagles
1984,3,1984-09-16T00:00:00+00:00,Jets,43,23,Bengals
