season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2009,1,2009-09-10T00:00:00+00:00,Steelers,13,10,Titans
2009,1,2009-09-13T00:00:00+00:00,Bengals,7,12,Broncos
2009,1,2009-09-13T00:00:00+00:00,Browns,20,34,Vikings
2009,1,2009-09-13T00:00:00+00:00,Buccaneers,21,34,Cowboys
2009,1,2009-09-13T00:00:00+00:00,Cardinals,16,20,49ers
2009,1,2009-09-13T00:00:00+00:00,Colts,14,12,Jaguars
2009,1,2009-09-13T00:00:00+00:00,Falcons,19,7,Dolphins
2009,1,2009-09-13T00:00:00+00:00,Giants,23,17,Redskins
2009,1,2009-09-13T00:00:00+00:00,Packers,21,15,Bears
2009,1,2009-09-13T00:00:00+00:00,Panthers,10,38,Eagles
2009,1,2009-09-13T00:00:00+00:00,Ravens,38,24,Chiefs
2009,1,2009-09-13T00:00:00+00:00,Saints,45,27,Lions
2009,1,2009-09-13T00:00:00+00:00,Seahawks,28,0,Rams
2009,1,2009-09-13T00:00:00+00:00,Texans,7,24,Jets
2009,1,2009-09-14T00:00:00+00:00,Patriots,25,24,Bills
2009,1,2009-09-14T00:00:00+00:00,Raiders,20,24,Chargers
2009,2,2009-09-20T00:00:00+00:00,49ers,23,10,Seahawks
2009,2,2009-09-20T00:00:00+00:00,Bears,17,14,Steelers
2009,2,2009-09-20T00:00:00+00:00,Bills,33,20,Buccaneers
2009,2,2009-09-20T00:00:00+00:00,Broncos,27,6,Browns
2009,2,2009-09-20T00:00:00+00:00,Chargers,26,31,Ravens
2009,2,2009-09-20T00:00:00+00:00,Chiefs,10,13,Raiders
2009,2,2009-09-20T00:00:00+00:00,Cowboys,31,33,Giants
2009,2,2009-09-20T00:00:00+00:00,Eagles,22,48,Saints
2009,2,2009-09-20T00:00:00+00:00,Falcons,28,20,Panthers
2009,2,2009-09-20T00:00:00+00:00,Jaguars,17,31,Cardinals
2009,2,2009-09-20T00:00:00+00:00,Jets,16,9,Patriots
2009,2,2009-09-20T00:00:00+00:00,Lions,13,27,Vikings
2009,2,2009-09-20T00:00:00+00:00,Packers,24,31,Bengals
2009,2,2009-09-20T00:00:00+00:00,Redskins,9,7,Rams
2009,2,2009-09-20T00:00:00+00:00,Titans,31,34,Texans
2009,2,2009-09-21T00:00:00+00:00,Dolphins,23,27,Colts
2009,3,2009-09-27T00:00:00+00:00,Bengals,23,20,Steelers
2009,3,2009-09-27T00:00:00+00:00,Bills,7,27,Saints
2009,3,2009-09-27T00:00:00+00:00,Buccaneers,0,24,Giants
2009,3,2009-09-27T00:00:00+00:00,Cardinals,10,31,Colts
2009,3,2009-09-27T00:00:00+00:00,Chargers,23,13,Dolphins
2009,3,2009-09-27T00:00:00+00:00,Eagles,34,14,Chiefs
2009,3,2009-09-27T00:00:00+00:00,Jets,24,17,Titans
2009,3,2009-09-27T00:00:00+00:00,Lions,19,14,Redskins
2009,3,2009-09-27T00:00:00+00:00,Patriots,26,10,Falcons
2009,3,2009-09-27T00:00:00+00:00,Raiders,3,23,Broncos
2009,3,2009-09-27T00:00:00+00:00,Rams,17,36,Packers
2009,3,2009-09-27T00:00:00+00:00,Ravens,34,3,Browns
2009,3,2009-09-27T00:00:00+00:00,Seahawks,19,25,Bears
2009,3,2009-09-27T00:00:00+00:00,Texans,24,31,Jaguars
2009,3,2009-09-27T00:00:00+00:00,Vikings,27,24,49ers
2009,3,2009-09-28T00:00:00+00:00,Cowboys,21,7,Panthers
2009,4,2009-10-04T00:00:00+00:00,49ers,35,0,Rams
2009,4,2009-10-04T00:00:00+00:00,Bears,48,24,Lions
2009,4,2009-10-04T00:00:00+00:00,Broncos,17,10,Cowboys
2009,4,2009-10-04T00:00:00+00:00,Browns,20,23,Bengals
2009,4,2009-10-04T00:00:00+00:00,Chiefs,16,27,Giants
2009,4,2009-10-04T00:00:00+00:00,Colts,34,17,Seahawks
2009,4,2009-10-04T00:00:00+00:00,Dolphins,38,10,Bills
2009,4,2009-10-04T00:00:00+00:00,Jaguars,37,17,Titans
2009,4,2009-10-04T00:00:00+00:00,Patriots,27,21,Ravens
2009,4,2009-10-04T00:00:00+00:00,Redskins,16,13,Buccaneers
2009,4,2009-10-04T00:00:00+00:00,Saints,24,10,Jets
2009,4,2009-10-04T00:00:00+00:00,Steelers,38,28,Chargers
2009,4,2009-10-04T00:00:00+00:00,Texans,29,6,Raiders
2009,4,2009-10-05T00:00:00+00:00,Vikings,30,23,Packers
2009,5,2009-10-11T00:00:00+00:00,49ers,10,45,Falcons
2009,5,2009-10-11T00:00:00+00:00,Bills,3,6,Browns
2009,5,2009-10-11T00:00:00+00:00,Broncos,20,17,Patriots
2009,5,2009-10-11T00:00:00+00:00,Cardinals,28,21,Texans
2009,5,2009-10-11T00:00:00+00:00,Chiefs,20,26,Cowboys
2009,5,2009-10-11T00:00:00+00:00,Eagles,33,14,Buccaneers
2009,5,2009-10-11T00:00:00+00:00,Giants,44,7,Raiders
2009,5,2009-10-11T00:00:00+00:00,Lions,20,28,Steelers
2009,5,2009-10-11T00:00:00+00:00,Panthers,20,17,Redskins
2009,5,2009-10-11T00:00:00+00:00,Rams,10,38,Vikings
2009,5,2009-10-11T00:00:00+00:00,Ravens,14,17,Bengals
2009,5,2009-10-11T00:00:00+00:00,Seahawks,41,0,Jaguars
2009,5,2009-10-11T00:00:00+00:00,Titans,9,31,Colts
2009,5,2009-10-12T00:00:00+00:00,Dolphins,31,27,Jets
2009,6,2009-10-18T00:00:00+00:00,Bengals,17,28,Texans
2009,6,2009-10-18T00:00:00+00:00,Buccaneers,21,28,Panthers
2009,6,2009-10-18T00:00:00+00:00,Falcons,21,14,Bears
2009,6,2009-10-18T00:00:00+00:00,Jaguars,23,20,Rams
2009,6,2009-10-18T00:00:00+00:00,Jets,13,16,Bills
2009,6,2009-10-18T00:00:00+00:00,Packers,26,0,Lions
2009,6,2009-10-18T00:00:00+00:00,Patriots,59,0,Titans
2009,6,2009-10-18T00:00:00+00:00,Raiders,13,9,Eagles
2009,6,2009-10-18T00:00:00+00:00,Redskins,6,14,Chiefs
2009,6,2009-10-18T00:00:00+00:00,Saints,48,27,Giants
2009,6,2009-10-18T00:00:00+00:00,Seahawks,3,27,Cardinals
2009,6,2009-10-18T00:00:00+00:00,Steelers,27,14,Browns
2009,6,2009-10-18T00:00:00+00:00,Vikings,33,31,Ravens
2009,6,2009-10-19T00:00:00+00:00,Chargers,23,34,Broncos
2009,7,2009-10-25T00:00:00+00:00,Bengals,45,10,Bears
2009,7,2009-10-25T00:00:00+00:00,Browns,3,31,Packers
2009,7,2009-10-25T00:00:00+00:00,Buccaneers,7,35,Patriots
2009,7,2009-10-25T00:00:00+00:00,Chiefs,7,37,Chargers
2009,7,2009-10-25T00:00:00+00:00,Cowboys,37,21,Falcons
2009,7,2009-10-25T00:00:00+00:00,Dolphins,34,46,Saints
2009,7,2009-10-25T00:00:00+00:00,Giants,17,24,Cardinals
2009,7,2009-10-25T00:00:00+00:00,Panthers,9,20,Bills
2009,7,2009-10-25T00:00:00+00:00,Raiders,0,38,Jets
2009,7,2009-10-25T00:00:00+00:00,Rams,6,42,Colts
2009,7,2009-10-25T00:00:00+00:00,Steelers,27,17,Vikings
2009,7,2009-10-25T00:00:00+00:00,Texans,24,21,49ers
2009,7,2009-10-26T00:00:00+00:00,Redskins,17,27,Eagles
2009,8,2009-11-01T00:00:00+00:00,Bears,30,6,Browns
2009,8,2009-11-01T00:00:00+00:00,Bills,10,31,Texans
2009,8,2009-11-01T00:00:00+00:00,Cardinals,21,34,Panthers
2009,8,2009-11-01T00:00:00+00:00,Chargers,24,16,Raiders
2009,8,2009-11-01T00:00:00+00:00,Colts,18,14,49ers
2009,8,2009-11-01T00:00:00+00:00,Cowboys,38,17,Seahawks
2009,8,2009-11-01T00:00:00+00:00,Eagles,40,17,Giants
2009,8,2009-11-01T00:00:00+00:00,Jets,25,30,Dolphins
2009,8,2009-11-01T00:00:00+00:00,Lions,10,17,Rams
2009,8,2009-11-01T00:00:00+00:00,Packers,26,38,Vikings
2009,8,2009-11-01T00:00:00+00:00,Ravens,30,7,Broncos
2009,8,2009-11-01T00:00:00+00:00,Titans,30,13,Jaguars
2009,8,2009-11-02T00:00:00+00:00,Saints,35,27,Falcons
2009,9,2009-11-08T00:00:00+00:00,49ers,27,34,Titans
2009,9,2009-11-08T00:00:00+00:00,Bears,21,41,Cardinals
2009,9,2009-11-08T00:00:00+00:00,Bengals,17,7,Ravens
2009,9,2009-11-08T00:00:00+00:00,Buccaneers,38,28,Packers
2009,9,2009-11-08T00:00:00+00:00,Colts,20,17,Texans
2009,9,2009-11-08T00:00:00+00:00,Eagles,16,20,Cowboys
2009,9,2009-11-08T00:00:00+00:00,Falcons,31,17,Redskins
2009,9,2009-11-08T00:00:00+00:00,Giants,20,21,Chargers
2009,9,2009-11-08T00:00:00+00:00,Jaguars,24,21,Chiefs
2009,9,2009-11-08T00:00:00+00:00,Patriots,27,17,Dolphins
2009,9,2009-11-08T00:00:00+00:00,Saints,30,20,Panthers
2009,9,2009-11-08T00:00:00+00:00,Seahawks,32,20,Lions
2009,9,2009-11-09T00:00:00+00:00,Broncos,10,28,Steelers
2009,10,2009-11-12T00:00:00+00:00,49ers,10,6,Bears
2009,10,2009-11-15T00:00:00+00:00,Cardinals,31,20,Seahawks
2009,10,2009-11-15T00:00:00+00:00,Chargers,31,23,Eagles
2009,10,2009-11-15T00:00:00+00:00,Colts,35,34,Patriots
2009,10,2009-11-15T00:00:00+00:00,Dolphins,25,23,Buccaneers
2009,10,2009-11-15T00:00:00+00:00,Jets,22,24,Jaguars
2009,10,2009-11-15T00:00:00+00:00,Packers,17,7,Cowboys
2009,10,2009-11-15T00:00:00+00:00,Panthers,28,19,Falcons
2009,10,2009-11-15T00:00:00+00:00,Raiders,10,16,Chiefs
2009,10,2009-11-15T00:00:00+00:00,Rams,23,28,Saints
2009,10,2009-11-15T00:00:00+00:00,Redskins,27,17,Broncos
2009,10,2009-11-15T00:00:00+00:00,Steelers,12,18,Bengals
2009,10,2009-11-15T00:00:00+00:00,Titans,41,17,Bills
2009,10,2009-11-15T00:00:00+00:00,Vikings,27,10,Lions
2009,10,2009-11-16T00:00:00+00:00,Browns,0,16,Ravens
2009,11,2009-11-19T00:00:00+00:00,Panthers,17,24,Dolphins
2009,11,2009-11-22T00:00:00+00:00,Bears,20,24,Eagles
2009,11,2009-11-22T00:00:00+00:00,Broncos,3,32,Chargers
2009,11,2009-11-22T00:00:00+00:00,Buccaneers,7,38,Saints
