season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1993,1,1993-09-05T00:00:00+00:00,Bears,20,26,Giants
1993,1,1993-09-05T00:00:00+00:00,Bills,38,14,Patriots
1993,1,1993-09-05T00:00:00+00:00,Browns,27,14,Bengals
1993,1,1993-09-05T00:00:00+00:00,Buccaneers,3,27,Chiefs
1993,1,1993-09-05T00:00:00+00:00,Chargers,18,12,Seahawks
1993,1,1993-09-05T00:00:00+00:00,Colts,20,24,Dolphins
1993,1,1993-09-05T00:00:00+00:00,Eagles,23,17,Cardinals
1993,1,1993-09-05T00:00:00+00:00,Jets,20,26,Broncos
1993,1,1993-09-05T00:00:00+00:00,Lions,30,13,Falcons
1993,1,1993-09-05T00:00:00+00:00,Packers,36,6,Rams
1993,1,1993-09-05T00:00:00+00:00,Raiders,24,7,Vikings
1993,1,1993-09-05T00:00:00+00:00,Saints,33,21,Oilers
1993,1,1993-09-05T00:00:00+00:00,Steelers,13,24,49ers
1993,1,1993-09-06T00:00:00+00:00,Redskins,35,16,Cowboys
1993,2,1993-09-12T00:00:00+00:00,Bengals,6,9,Colts
1993,2,1993-09-12T00:00:00+00:00,Broncos,34,17,Chargers
1993,2,1993-09-12T00:00:00+00:00,Cowboys,10,13,Bills
1993,2,1993-09-12T00:00:00+00:00,Dolphins,14,24,Jets
1993,2,1993-09-12T00:00:00+00:00,Falcons,31,34,Saints
1993,2,1993-09-12T00:00:00+00:00,Giants,23,7,Buccaneers
1993,2,1993-09-12T00:00:00+00:00,Oilers,30,0,Chiefs
1993,2,1993-09-12T00:00:00+00:00,Packers,17,20,Eagles
1993,2,1993-09-12T00:00:00+00:00,Patriots,16,19,Lions
1993,2,1993-09-12T00:00:00+00:00,Rams,27,0,Steelers
1993,2,1993-09-12T00:00:00+00:00,Redskins,10,17,Cardinals
1993,2,1993-09-12T00:00:00+00:00,Seahawks,13,17,Raiders
1993,2,1993-09-12T00:00:00+00:00,Vikings,10,7,Bears
1993,2,1993-09-13T00:00:00+00:00,Browns,23,13,49ers
1993,3,1993-09-19T00:00:00+00:00,49ers,37,30,Falcons
1993,3,1993-09-19T00:00:00+00:00,Cardinals,10,17,Cowboys
1993,3,1993-09-19T00:00:00+00:00,Chargers,18,17,Oilers
1993,3,1993-09-19T00:00:00+00:00,Eagles,34,31,Redskins
1993,3,1993-09-19T00:00:00+00:00,Giants,20,10,Rams
1993,3,1993-09-19T00:00:00+00:00,Patriots,14,17,Seahawks
1993,3,1993-09-19T00:00:00+00:00,Raiders,16,19,Browns
1993,3,1993-09-19T00:00:00+00:00,Saints,14,3,Lions
1993,3,1993-09-19T00:00:00+00:00,Steelers,34,7,Bengals
1993,3,1993-09-20T00:00:00+00:00,Chiefs,15,7,Broncos
1993,4,1993-09-26T00:00:00+00:00,Bears,47,17,Buccaneers
1993,4,1993-09-26T00:00:00+00:00,Bengals,10,19,Seahawks
1993,4,1993-09-26T00:00:00+00:00,Bills,13,22,Dolphins
1993,4,1993-09-26T00:00:00+00:00,Colts,23,10,Browns
1993,4,1993-09-26T00:00:00+00:00,Jets,45,7,Patriots
1993,4,1993-09-26T00:00:00+00:00,Lions,26,20,Cardinals
1993,4,1993-09-26T00:00:00+00:00,Oilers,13,28,Rams
1993,4,1993-09-26T00:00:00+00:00,Saints,16,13,49ers
1993,4,1993-09-26T00:00:00+00:00,Vikings,15,13,Packers
1993,4,1993-09-27T00:00:00+00:00,Falcons,17,45,Steelers
1993,5,1993-10-03T00:00:00+00:00,49ers,38,19,Vikings
1993,5,1993-10-03T00:00:00+00:00,Bears,6,0,Falcons
1993,5,1993-10-03T00:00:00+00:00,Bills,17,14,Giants
1993,5,1993-10-03T00:00:00+00:00,Broncos,35,13,Colts
1993,5,1993-10-03T00:00:00+00:00,Buccaneers,27,10,Lions
1993,5,1993-10-03T00:00:00+00:00,Chiefs,24,9,Raiders
1993,5,1993-10-03T00:00:00+00:00,Cowboys,36,14,Packers
1993,5,1993-10-03T00:00:00+00:00,Jets,30,35,Eagles
1993,5,1993-10-03T00:00:00+00:00,Rams,6,37,Saints
1993,5,1993-10-03T00:00:00+00:00,Seahawks,31,14,Chargers
1993,5,1993-10-04T00:00:00+00:00,Dolphins,17,10,Redskins
1993,6,1993-10-10T00:00:00+00:00,Browns,14,24,Dolphins
1993,6,1993-10-10T00:00:00+00:00,Cardinals,21,23,Patriots
1993,6,1993-10-10T00:00:00+00:00,Chiefs,17,15,Bengals
1993,6,1993-10-10T00:00:00+00:00,Colts,3,27,Cowboys
1993,6,1993-10-10T00:00:00+00:00,Eagles,6,17,Bears
1993,6,1993-10-10T00:00:00+00:00,Packers,30,27,Broncos
1993,6,1993-10-10T00:00:00+00:00,Raiders,24,20,Jets
1993,6,1993-10-10T00:00:00+00:00,Redskins,7,41,Giants
1993,6,1993-10-10T00:00:00+00:00,Steelers,16,3,Chargers
1993,6,1993-10-10T00:00:00+00:00,Vikings,15,0,Buccaneers
1993,6,1993-10-11T00:00:00+00:00,Bills,35,7,Oilers
1993,7,1993-10-14T00:00:00+00:00,Falcons,30,24,Rams
1993,7,1993-10-17T00:00:00+00:00,Bengals,17,28,Browns
1993,7,1993-10-17T00:00:00+00:00,Cardinals,36,6,Redskins
1993,7,1993-10-17T00:00:00+00:00,Chargers,14,17,Chiefs
1993,7,1993-10-17T00:00:00+00:00,Cowboys,26,17,49ers
1993,7,1993-10-17T00:00:00+00:00,Giants,21,10,Eagles
1993,7,1993-10-17T00:00:00+00:00,Lions,30,10,Seahawks
1993,7,1993-10-17T00:00:00+00:00,Patriots,14,28,Oilers
1993,7,1993-10-17T00:00:00+00:00,Steelers,37,14,Saints
1993,7,1993-10-18T00:00:00+00:00,Broncos,20,23,Raiders
1993,8,1993-10-24T00:00:00+00:00,49ers,28,14,Cardinals
1993,8,1993-10-24T00:00:00+00:00,Browns,28,23,Steelers
1993,8,1993-10-24T00:00:00+00:00,Buccaneers,14,37,Packers
