season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1981,1,1981-09-06T00:00:00+00:00,Bears,9,16,Packers
1981,1,1981-09-06T00:00:00+00:00,Bengals,27,21,Seahawks
1981,1,1981-09-06T00:00:00+00:00,Bills,31,0,Jets
1981,1,1981-09-06T00:00:00+00:00,Broncos,9,7,Raiders
1981,1,1981-09-06T00:00:00+00:00,Buccaneers,21,13,Vikings
1981,1,1981-09-06T00:00:00+00:00,Cardinals,7,20,Dolphins
1981,1,1981-09-06T00:00:00+00:00,Falcons,27,0,Saints
1981,1,1981-09-06T00:00:00+00:00,Giants,10,24,Eagles
1981,1,1981-09-06T00:00:00+00:00,Lions,24,17,49ers
1981,1,1981-09-06T00:00:00+00:00,Patriots,28,29,Colts
1981,1,1981-09-06T00:00:00+00:00,Rams,20,27,Oilers
1981,1,1981-09-06T00:00:00+00:00,Redskins,10,26,Cowboys
1981,1,1981-09-06T00:00:00+00:00,Steelers,33,37,Chiefs
1981,1,1981-09-07T00:00:00+00:00,Browns,14,44,Chargers
1981,2,1981-09-10T00:00:00+00:00,Dolphins,30,10,Steelers
1981,2,1981-09-13T00:00:00+00:00,49ers,28,17,Bears
1981,2,1981-09-13T00:00:00+00:00,Browns,3,9,Oilers
1981,2,1981-09-13T00:00:00+00:00,Chargers,28,23,Lions
1981,2,1981-09-13T00:00:00+00:00,Chiefs,19,10,Buccaneers
1981,2,1981-09-13T00:00:00+00:00,Colts,3,35,Bills
1981,2,1981-09-13T00:00:00+00:00,Cowboys,30,17,Cardinals
1981,2,1981-09-13T00:00:00+00:00,Eagles,13,3,Patriots
1981,2,1981-09-13T00:00:00+00:00,Jets,30,31,Bengals
1981,2,1981-09-13T00:00:00+00:00,Packers,17,31,Falcons
1981,2,1981-09-13T00:00:00+00:00,Redskins,7,17,Giants
1981,2,1981-09-13T00:00:00+00:00,Saints,23,17,Rams
1981,2,1981-09-13T00:00:00+00:00,Seahawks,13,10,Broncos
1981,2,1981-09-14T00:00:00+00:00,Vikings,10,36,Raiders
1981,3,1981-09-17T00:00:00+00:00,Bills,14,20,Eagles
1981,3,1981-09-20T00:00:00+00:00,Bears,28,17,Buccaneers
1981,3,1981-09-20T00:00:00+00:00,Bengals,17,20,Browns
1981,3,1981-09-20T00:00:00+00:00,Broncos,28,10,Colts
1981,3,1981-09-20T00:00:00+00:00,Cardinals,40,30,Redskins
1981,3,1981-09-20T00:00:00+00:00,Chiefs,31,42,Chargers
1981,3,1981-09-20T00:00:00+00:00,Falcons,34,17,49ers
1981,3,1981-09-20T00:00:00+00:00,Giants,20,7,Saints
1981,3,1981-09-20T00:00:00+00:00,Oilers,10,16,Dolphins
1981,3,1981-09-20T00:00:00+00:00,Raiders,20,10,Seahawks
1981,3,1981-09-20T00:00:00+00:00,Rams,35,23,Packers
1981,3,1981-09-20T00:00:00+00:00,Steelers,38,10,Jets
1981,3,1981-09-20T00:00:00+00:00,Vikings,26,24,Lions
1981,3,1981-09-21T00:00:00+00:00,Patriots,21,35,Cowboys
1981,4,1981-09-27T00:00:00+00:00,49ers,21,14,Saints
1981,4,1981-09-27T00:00:00+00:00,Bengals,27,24,Bills
1981,4,1981-09-27T00:00:00+00:00,Broncos,42,24,Chargers
1981,4,1981-09-27T00:00:00+00:00,Browns,28,17,Falcons
1981,4,1981-09-27T00:00:00+00:00,Buccaneers,20,10,Cardinals
1981,4,1981-09-27T00:00:00+00:00,Colts,28,31,Dolphins
1981,4,1981-09-27T00:00:00+00:00,Cowboys,18,10,Giants
1981,4,1981-09-27T00:00:00+00:00,Eagles,36,13,Redskins
1981,4,1981-09-27T00:00:00+00:00,Jets,33,17,Oilers
1981,4,1981-09-27T00:00:00+00:00,Lions,16,0,Raiders
