season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2012,1,2012-09-05T20:30:00-05:00,Giants,17,24,Cowboys
2012,1,2012-09-09T13:00:00-05:00,Bears,41,21,Colts
2012,1,2012-09-09T13:00:00-05:00,Browns,16,17,Eagles
2012,1,2012-09-09T13:00:00-05:00,Chiefs,24,40,Falcons
2012,1,2012-09-09T13:00:00-05:00,Jets,48,28,Bills
2012,1,2012-09-09T13:00:00-05:00,Lions,27,23,Rams
2012,1,2012-09-09T13:00:00-05:00,Saints,32,40,Redskins
2012,1,2012-09-09T13:00:00-05:00,Texans,30,10,Dolphins
2012,1,2012-09-09T13:00:00-05:00,Titans,13,34,Patriots
2012,1,2012-09-09T13:00:00-05:00,Vikings,26,23,Jaguars
2012,1,2012-09-09T16:15:00-05:00,Buccaneers,16,10,Panthers
2012,1,2012-09-09T16:15:00-05:00,Cardinals,20,16,Seahawks
2012,1,2012-09-09T16:15:00-05:00,Packers,22,30,49ers
2012,1,2012-09-09T20:20:00-05:00,Broncos,31,19,Steelers
2012,1,2012-09-10T19:00:00-05:00,Ravens,44,13,Bengals
2012,1,2012-09-10T22:15:00-05:00,Raiders,14,22,Chargers
2012,2,2012-09-13T20:20:00-05:00,Packers,23,10,Bears
2012,2,2012-09-16T13:00:00-05:00,Bengals,34,27,Browns
2012,2,2012-09-16T13:00:00-05:00,Bills,35,17,Chiefs
2012,2,2012-09-16T13:00:00-05:00,Colts,23,20,Vikings
2012,2,2012-09-16T13:00:00-05:00,Eagles,24,23,Ravens
2012,2,2012-09-16T13:00:00-05:00,Giants,41,34,Buccaneers
2012,2,2012-09-16T13:00:00-05:00,Jaguars,7,27,Texans
2012,2,2012-09-16T13:00:00-05:00,Panthers,35,27,Saints
2012,2,2012-09-16T13:00:00-05:00,Patriots,18,20,Cardinals
2012,2,2012-09-16T16:05:00-05:00,Rams,31,28,Redskins
2012,2,2012-09-16T16:05:00-05:00,Seahawks,27,7,Cowboys
2012,2,2012-09-16T16:15:00-05:00,Chargers,38,10,Titans
2012,2,2012-09-16T16:15:00-05:00,Dolphins,35,13,Raiders
2012,2,2012-09-16T16:15:00-05:00,Steelers,27,10,Jets
2012,2,2012-09-16T20:20:00-05:00,49ers,27,19,Lions
2012,2,2012-09-17T20:30:00-05:00,Falcons,27,21,Broncos
2012,3,2012-09-20T20:20:00-05:00,Panthers,7,36,Giants
2012,3,2012-09-23T13:00:00-05:00,Bears,23,6,Rams
2012,3,2012-09-23T13:00:00-05:00,Browns,14,24,Bills
2012,3,2012-09-23T13:00:00-05:00,Colts,17,22,Jaguars
2012,3,2012-09-23T13:00:00-05:00,Cowboys,16,10,Buccaneers
2012,3,2012-09-23T13:00:00-05:00,Dolphins,20,23,Jets
2012,3,2012-09-23T13:00:00-05:00,Redskins,31,38,Bengals
2012,3,2012-09-23T13:00:00-05:00,Saints,24,27,Chiefs
2012,3,2012-09-23T13:00:00-05:00,Titans,44,41,Lions
2012,3,2012-09-23T13:00:00-05:00,Vikings,24,13,49ers
2012,3,2012-09-23T16:05:00-05:00,Cardinals,27,6,Eagles
2012,3,2012-09-23T16:05:00-05:00,Chargers,3,27,Falcons
2012,3,2012-09-23T16:15:00-05:00,Broncos,25,31,Texans
2012,3,2012-09-23T16:15:00-05:00,Raiders,34,31,Steelers
2012,3,2012-09-23T20:20:00-05:00,Ravens,31,30,Patriots
2012,3,2012-09-24T20:30:00-05:00,Seahawks,14,12,Packers
2012,4,2012-09-27T20:20:00-05:00,Ravens,23,16,Browns
2012,4,2012-09-30T13:00:00-05:00,Bills,28,52,Patriots
2012,4,2012-09-30T13:00:00-05:00,Chiefs,20,37,Chargers
2012,4,2012-09-30T13:00:00-05:00,Falcons,30,28,Panthers
2012,4,2012-09-30T13:00:00-05:00,Jets,0,34,49ers
2012,4,2012-09-30T13:00:00-05:00,Lions,13,20,Vikings
2012,4,2012-09-30T13:00:00-05:00,Rams,19,13,Seahawks
2012,4,2012-09-30T13:00:00-05:00,Texans,38,14,Titans
2012,4,2012-09-30T16:05:00-05:00,Broncos,37,6,Raiders
2012,4,2012-09-30T16:05:00-05:00,Cardinals,24,21,Dolphins
2012,4,2012-09-30T16:05:00-05:00,Jaguars,10,27,Bengals
2012,4,2012-09-30T16:15:00-05:00,Buccaneers,22,24,Redskins
2012,4,2012-09-30T16:15:00-05:00,Packers,28,27,Saints
2012,4,2012-09-30T20:20:00-05:00,Eagles,19,17,Giants
2012,4,2012-10-01T20:30:00-05:00,Cowboys,18,34,Bears
2012,5,2012-10-04T20:20:00-05:00,Rams,17,3,Cardinals
2012,5,2012-10-07T13:00:00-05:00,Bengals,13,17,Dolphins
2012,5,2012-10-07T13:00:00-05:00,Chiefs,6,9,Ravens
2012,5,2012-10-07T13:00:00-05:00,Colts,30,27,Packers
2012,5,2012-10-07T13:00:00-05:00,Giants,41,27,Browns
2012,5,2012-10-07T13:00:00-05:00,Redskins,17,24,Falcons
2012,5,2012-10-07T13:00:00-05:00,Steelers,16,14,Eagles
2012,5,2012-10-07T13:00:00-05:00,Vikings,30,7,Titans
2012,5,2012-10-07T16:05:00-05:00,Jaguars,3,41,Bears
2012,5,2012-10-07T16:05:00-05:00,Panthers,12,16,Seahawks
2012,5,2012-10-07T16:15:00-05:00,49ers,45,3,Bills
2012,5,2012-10-07T16:15:00-05:00,Patriots,31,21,Broncos
2012,5,2012-10-07T20:20:00-05:00,Saints,31,24,Chargers
2012,5,2012-10-08T20:30:00-05:00,Jets,17,23,Texans
2012,6,2012-10-11T20:20:00-05:00,Titans,26,23,Steelers
2012,6,2012-10-14T13:00:00-05:00,Browns,34,24,Bengals
2012,6,2012-10-14T13:00:00-05:00,Buccaneers,38,10,Chiefs
2012,6,2012-10-14T13:00:00-05:00,Dolphins,17,14,Rams
2012,6,2012-10-14T13:00:00-05:00,Eagles,23,26,Lions
2012,6,2012-10-14T13:00:00-05:00,Falcons,23,20,Raiders
2012,6,2012-10-14T13:00:00-05:00,Jets,35,9,Colts
2012,6,2012-10-14T13:00:00-05:00,Ravens,31,29,Cowboys
2012,6,2012-10-14T16:05:00-05:00,Cardinals,16,19,Bills
2012,6,2012-10-14T16:05:00-05:00,Seahawks,24,23,Patriots
2012,6,2012-10-14T16:15:00-05:00,49ers,3,26,Giants
2012,6,2012-10-14T16:15:00-05:00,Redskins,38,26,Vikings
2012,6,2012-10-14T20:20:00-05:00,Texans,24,42,Packers
2012,6,2012-10-15T20:30:00-05:00,Chargers,24,35,Broncos
2012,7,2012-10-18T20:20:00-05:00,49ers,13,6,Seahawks
2012,7,2012-10-21T13:00:00-05:00,Bills,34,35,Titans
2012,7,2012-10-21T13:00:00-05:00,Buccaneers,28,35,Saints
2012,7,2012-10-21T13:00:00-05:00,Colts,17,13,Browns
2012,7,2012-10-21T13:00:00-05:00,Giants,27,23,Redskins
2012,7,2012-10-21T13:00:00-05:00,Panthers,14,19,Cowboys
2012,7,2012-10-21T13:00:00-05:00,Rams,20,30,Packers
2012,7,2012-10-21T13:00:00-05:00,Texans,43,13,Ravens
2012,7,2012-10-21T13:00:00-05:00,Vikings,21,14,Cardinals
2012,7,2012-10-21T16:15:00-05:00,Patriots,29,26,Jets
2012,7,2012-10-21T16:15:00-05:00,Raiders,26,23,Jaguars
2012,7,2012-10-21T20:20:00-05:00,Bengals,17,24,Steelers
2012,7,2012-10-22T20:30:00-05:00,Bears,13,7,Lions
2012,8,2012-10-25T20:20:00-05:00,Vikings,17,36,Buccaneers
2012,8,2012-10-28T13:00:00-05:00,Bears,23,22,Panthers
2012,8,2012-10-28T13:00:00-05:00,Browns,7,6,Chargers
2012,8,2012-10-28T13:00:00-05:00,Eagles,17,30,Falcons
2012,8,2012-10-28T13:00:00-05:00,Jets,9,30,Dolphins
2012,8,2012-10-28T13:00:00-05:00,Lions,28,24,Seahawks
2012,8,2012-10-28T13:00:00-05:00,Packers,24,15,Jaguars
2012,8,2012-10-28T13:00:00-05:00,Rams,7,45,Patriots
2012,8,2012-10-28T13:00:00-05:00,Steelers,27,12,Redskins
2012,8,2012-10-28T13:00:00-05:00,Titans,13,19,Colts
2012,8,2012-10-28T16:05:00-05:00,Chiefs,16,26,Raiders
2012,8,2012-10-28T16:15:00-05:00,Cowboys,24,29,Giants
2012,8,2012-10-28T20:20:00-05:00,Broncos,34,14,Saints
2012,8,2012-10-29T20:30:00-05:00,Cardinals,3,24,49ers
2012,9,2012-11-01T20:20:00-05:00,Chargers,31,13,Chiefs
2012,9,2012-11-04T13:00:00-05:00,Bengals,23,31,Broncos
2012,9,2012-11-04T13:00:00-05:00,Browns,15,25,Ravens
2012,9,2012-11-04T13:00:00-05:00,Colts,23,20,Dolphins
2012,9,2012-11-04T13:00:00-05:00,Jaguars,14,31,Lions
2012,9,2012-11-04T13:00:00-05:00,Packers,31,17,Cardinals
2012,9,2012-11-04T13:00:00-05:00,Redskins,13,21,Panthers
2012,9,2012-11-04T13:00:00-05:00,Texans,21,9,Bills
2012,9,2012-11-04T13:00:00-05:00,Titans,20,51,Bears
2012,9,2012-11-04T16:05:00-05:00,Raiders,32,42,Buccaneers
2012,9,2012-11-04T16:05:00-05:00,Seahawks,30,20,Vikings
2012,9,2012-11-04T16:15:00-05:00,Giants,20,24,Steelers
2012,9,2012-11-04T20:20:00-05:00,Falcons,19,13,Cowboys
2012,9,2012-11-05T20:30:00-05:00,Saints,28,13,Eagles
2012,10,2012-11-08T20:20:00-05:00,Jaguars,10,27,Colts
2012,10,2012-11-11T13:00:00-05:00,Bengals,31,13,Giants
2012,10,2012-11-11T13:00:00-05:00,Buccaneers,34,24,Chargers
2012,10,2012-11-11T13:00:00-05:00,Dolphins,3,37,Titans
2012,10,2012-11-11T13:00:00-05:00,Panthers,14,36,Broncos
2012,10,2012-11-11T13:00:00-05:00,Patriots,37,31,Bills
2012,10,2012-11-11T13:00:00-05:00,Ravens,55,20,Raiders
2012,10,2012-11-11T13:00:00-05:00,Saints,31,27,Falcons
2012,10,2012-11-11T13:00:00-05:00,Vikings,34,24,Lions
2012,10,2012-11-11T16:05:00-05:00,Seahawks,28,7,Jets
2012,10,2012-11-11T16:15:00-05:00,49ers,24,24,Rams
2012,10,2012-11-11T16:15:00-05:00,Eagles,23,38,Cowboys
2012,10,2012-11-11T20:20:00-05:00,Bears,6,13,Texans
2012,10,2012-11-12T20:30:00-05:00,Steelers,16,13,Chiefs
2012,11,2012-11-15T20:20:00-05:00,Bills,19,14,Dolphins
2012,11,2012-11-18T13:00:00-05:00,Chiefs,6,28,Bengals
2012,11,2012-11-18T13:00:00-05:00,Cowboys,23,20,Browns
2012,11,2012-11-18T13:00:00-05:00,Falcons,23,19,Cardinals
2012,11,2012-11-18T13:00:00-05:00,Lions,20,24,Packers
2012,11,2012-11-18T13:00:00-05:00,Panthers,21,27,Buccaneers
2012,11,2012-11-18T13:00:00-05:00,Patriots,59,24,Colts
2012,11,2012-11-18T13:00:00-05:00,Rams,13,27,Jets
2012,11,2012-11-18T13:00:00-05:00,Redskins,31,6,Eagles
2012,11,2012-11-18T13:00:00-05:00,Texans,43,37,Jaguars
2012,11,2012-11-18T16:05:00-05:00,Raiders,17,38,Saints
2012,11,2012-11-18T16:15:00-05:00,Broncos,30,23,Chargers
2012,11,2012-11-18T20:20:00-05:00,Steelers,10,13,Ravens
2012,11,2012-11-19T20:30:00-05:00,49ers,32,7,Bears
2012,12,2012-11-22T12:30:00-05:00,Lions,31,34,Texans
2012,12,2012-11-22T16:15:00-05:00,Cowboys,31,38,Redskins
2012,12,2012-11-22T20:20:00-05:00,Jets,19,49,Patriots
2012,12,2012-11-25T13:00:00-05:00,Bears,28,10,Vikings
2012,12,2012-11-25T13:00:00-05:00,Bengals,34,10,Raiders
2012,12,2012-11-25T13:00:00-05:00,Browns,20,14,Steelers
2012,12,2012-11-25T13:00:00-05:00,Buccaneers,23,24,Falcons
2012,12,2012-11-25T13:00:00-05:00,Chiefs,9,17,Broncos
2012,12,2012-11-25T13:00:00-05:00,Colts,20,13,Bills
2012,12,2012-11-25T13:00:00-05:00,Dolphins,24,21,Seahawks
2012,12,2012-11-25T13:00:00-05:00,Jaguars,24,19,Titans
2012,12,2012-11-25T16:05:00-05:00,Chargers,13,16,Ravens
2012,12,2012-11-25T16:15:00-05:00,Cardinals,17,31,Rams
2012,12,2012-11-25T16:15:00-05:00,Saints,21,31,49ers
2012,12,2012-11-25T20:20:00-05:00,Giants,38,10,Packers
2012,12,2012-11-26T20:30:00-05:00,Eagles,22,30,Panthers
2012,13,2012-11-29T20:20:00-05:00,Falcons,23,13,Saints
2012,13,2012-12-02T13:00:00-05:00,Bears,17,23,Seahawks
2012,13,2012-12-02T13:00:00-05:00,Bills,34,18,Jaguars
2012,13,2012-12-02T13:00:00-05:00,Chiefs,27,21,Panthers
2012,13,2012-12-02T13:00:00-05:00,Dolphins,16,23,Patriots
2012,13,2012-12-02T13:00:00-05:00,Jets,7,6,Cardinals
2012,13,2012-12-02T13:00:00-05:00,Lions,33,35,Colts
2012,13,2012-12-02T13:00:00-05:00,Packers,23,14,Vikings
2012,13,2012-12-02T13:00:00-05:00,Rams,16,13,49ers
2012,13,2012-12-02T13:00:00-05:00,Titans,10,24,Texans
2012,13,2012-12-02T16:05:00-05:00,Broncos,31,23,Buccaneers
2012,13,2012-12-02T16:15:00-05:00,Chargers,13,20,Bengals
2012,13,2012-12-02T16:15:00-05:00,Raiders,17,20,Browns
2012,13,2012-12-02T16:15:00-05:00,Ravens,20,23,Steelers
2012,13,2012-12-02T20:20:00-05:00,Cowboys,38,33,Eagles
2012,13,2012-12-03T20:30:00-05:00,Redskins,17,16,Giants
2012,14,2012-12-06T20:20:00-05:00,Raiders,13,26,Broncos
2012,14,2012-12-09T13:00:00-05:00,Bengals,19,20,Cowboys
2012,14,2012-12-09T13:00:00-05:00,Bills,12,15,Rams
2012,14,2012-12-09T13:00:00-05:00,Browns,30,7,Chiefs
2012,14,2012-12-09T13:00:00-05:00,Buccaneers,21,23,Eagles
2012,14,2012-12-09T13:00:00-05:00,Colts,27,23,Titans
2012,14,2012-12-09T13:00:00-05:00,Jaguars,10,17,Jets
2012,14,2012-12-09T13:00:00-05:00,Panthers,30,20,Falcons
2012,14,2012-12-09T13:00:00-05:00,Redskins,31,28,Ravens
2012,14,2012-12-09T13:00:00-05:00,Steelers,24,34,Chargers
2012,14,2012-12-09T13:00:00-05:00,Vikings,21,14,Bears
2012,14,2012-12-09T16:05:00-05:00,49ers,27,13,Dolphins
2012,14,2012-12-09T16:15:00-05:00,Giants,52,27,Saints
2012,14,2012-12-09T16:15:00-05:00,Seahawks,58,0,Cardinals
2012,14,2012-12-09T20:20:00-05:00,Packers,27,20,Lions
2012,14,2012-12-10T20:30:00-05:00,Patriots,42,14,Texans
2012,15,2012-12-13T20:20:00-05:00,Eagles,13,34,Bengals
2012,15,2012-12-16T13:00:00-05:00,Bears,13,21,Packers
2012,15,2012-12-16T13:00:00-05:00,Browns,21,38,Redskins
2012,15,2012-12-16T13:00:00-05:00,Dolphins,24,3,Jaguars
2012,15,2012-12-16T13:00:00-05:00,Falcons,34,0,Giants
2012,15,2012-12-16T13:00:00-05:00,Rams,22,36,Vikings
2012,15,2012-12-16T13:00:00-05:00,Ravens,17,34,Broncos
