season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2005,1,2005-09-08T00:00:00+00:00,Patriots,30,20,Raiders
2005,1,2005-09-11T00:00:00+00:00,49ers,28,25,Rams
2005,1,2005-09-11T00:00:00+00:00,Bills,22,7,Texans
2005,1,2005-09-11T00:00:00+00:00,Browns,13,27,Bengals
2005,1,2005-09-11T00:00:00+00:00,Chargers,24,28,Cowboys
2005,1,2005-09-11T00:00:00+00:00,Chiefs,27,7,Jets
2005,1,2005-09-11T00:00:00+00:00,Dolphins,34,10,Broncos
2005,1,2005-09-11T00:00:00+00:00,Giants,42,19,Cardinals
2005,1,2005-09-11T00:00:00+00:00,Jaguars,26,14,Seahawks
2005,1,2005-09-11T00:00:00+00:00,Lions,17,3,Packers
2005,1,2005-09-11T00:00:00+00:00,Panthers,20,23,Saints
2005,1,2005-09-11T00:00:00+00:00,Ravens,7,24,Colts
2005,1,2005-09-11T00:00:00+00:00,Redskins,9,7,Bears
2005,1,2005-09-11T00:00:00+00:00,Steelers,34,7,Titans
2005,1,2005-09-11T00:00:00+00:00,Vikings,13,24,Buccaneers
2005,1,2005-09-12T00:00:00+00:00,Falcons,14,10,Eagles
2005,2,2005-09-18T00:00:00+00:00,Bears,38,6,Lions
2005,2,2005-09-18T00:00:00+00:00,Bengals,37,8,Vikings
2005,2,2005-09-18T00:00:00+00:00,Broncos,20,17,Chargers
2005,2,2005-09-18T00:00:00+00:00,Buccaneers,19,3,Bills
2005,2,2005-09-18T00:00:00+00:00,Cardinals,12,17,Rams
2005,2,2005-09-18T00:00:00+00:00,Colts,10,3,Jaguars
2005,2,2005-09-18T00:00:00+00:00,Eagles,42,3,49ers
2005,2,2005-09-18T00:00:00+00:00,Jets,17,7,Dolphins
2005,2,2005-09-18T00:00:00+00:00,Packers,24,26,Browns
2005,2,2005-09-18T00:00:00+00:00,Panthers,27,17,Patriots
2005,2,2005-09-18T00:00:00+00:00,Raiders,17,23,Chiefs
2005,2,2005-09-18T00:00:00+00:00,Seahawks,21,18,Falcons
2005,2,2005-09-18T00:00:00+00:00,Texans,7,27,Steelers
2005,2,2005-09-18T00:00:00+00:00,Titans,25,10,Ravens
2005,2,2005-09-19T00:00:00+00:00,Cowboys,13,14,Redskins
2005,2,2005-09-19T00:00:00+00:00,Saints,10,27,Giants
2005,3,2005-09-25T00:00:00+00:00,49ers,31,34,Cowboys
2005,3,2005-09-25T00:00:00+00:00,Bears,7,24,Bengals
2005,3,2005-09-25T00:00:00+00:00,Bills,16,24,Falcons
2005,3,2005-09-25T00:00:00+00:00,Chargers,45,23,Giants
2005,3,2005-09-25T00:00:00+00:00,Colts,13,6,Browns
2005,3,2005-09-25T00:00:00+00:00,Dolphins,27,24,Panthers
2005,3,2005-09-25T00:00:00+00:00,Eagles,23,20,Raiders
2005,3,2005-09-25T00:00:00+00:00,Jets,20,26,Jaguars
2005,3,2005-09-25T00:00:00+00:00,Packers,16,17,Buccaneers
2005,3,2005-09-25T00:00:00+00:00,Rams,31,27,Titans
2005,3,2005-09-25T00:00:00+00:00,Seahawks,37,12,Cardinals
2005,3,2005-09-25T00:00:00+00:00,Steelers,20,23,Patriots
2005,3,2005-09-25T00:00:00+00:00,Vikings,33,16,Saints
2005,3,2005-09-26T00:00:00+00:00,Broncos,30,10,Chiefs
2005,4,2005-10-02T00:00:00+00:00,Bengals,16,10,Texans
2005,4,2005-10-02T00:00:00+00:00,Buccaneers,17,13,Lions
2005,4,2005-10-02T00:00:00+00:00,Cardinals,31,14,49ers
2005,4,2005-10-02T00:00:00+00:00,Chiefs,31,37,Eagles
2005,4,2005-10-02T00:00:00+00:00,Falcons,30,10,Vikings
2005,4,2005-10-02T00:00:00+00:00,Giants,44,24,Rams
2005,4,2005-10-02T00:00:00+00:00,Jaguars,7,20,Broncos
2005,4,2005-10-02T00:00:00+00:00,Patriots,17,41,Chargers
2005,4,2005-10-02T00:00:00+00:00,Raiders,19,13,Cowboys
