season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1979,1,1979-09-01T00:00:00+00:00,Buccaneers,31,16,Lions
1979,1,1979-09-02T00:00:00+00:00,Bears,6,3,Packers
1979,1,1979-09-02T00:00:00+00:00,Bills,7,9,Dolphins
1979,1,1979-09-02T00:00:00+00:00,Broncos,10,0,Bengals
1979,1,1979-09-02T00:00:00+00:00,Cardinals,21,22,Cowboys
1979,1,1979-09-02T00:00:00+00:00,Chiefs,14,0,Colts
1979,1,1979-09-02T00:00:00+00:00,Eagles,23,17,Giants
1979,1,1979-09-02T00:00:00+00:00,Jets,22,25,Browns
1979,1,1979-09-02T00:00:00+00:00,Rams,17,24,Raiders
1979,1,1979-09-02T00:00:00+00:00,Redskins,27,29,Oilers
1979,1,1979-09-02T00:00:00+00:00,Saints,34,40,Falcons
1979,1,1979-09-02T00:00:00+00:00,Seahawks,16,33,Chargers
1979,1,1979-09-02T00:00:00+00:00,Vikings,28,22,49ers
1979,1,1979-09-03T00:00:00+00:00,Patriots,13,16,Steelers
1979,2,1979-09-06T00:00:00+00:00,Broncos,9,13,Rams
1979,2,1979-09-09T00:00:00+00:00,49ers,13,21,Cowboys
1979,2,1979-09-09T00:00:00+00:00,Bears,26,7,Vikings
1979,2,1979-09-09T00:00:00+00:00,Bills,51,24,Bengals
1979,2,1979-09-09T00:00:00+00:00,Chargers,30,10,Raiders
1979,2,1979-09-09T00:00:00+00:00,Chiefs,24,27,Browns
1979,2,1979-09-09T00:00:00+00:00,Colts,26,29,Buccaneers
1979,2,1979-09-09T00:00:00+00:00,Dolphins,19,10,Seahawks
1979,2,1979-09-09T00:00:00+00:00,Giants,14,27,Cardinals
1979,2,1979-09-09T00:00:00+00:00,Lions,24,27,Redskins
1979,2,1979-09-09T00:00:00+00:00,Packers,28,19,Saints
1979,2,1979-09-09T00:00:00+00:00,Patriots,56,3,Jets
1979,2,1979-09-09T00:00:00+00:00,Steelers,38,7,Oilers
1979,2,1979-09-10T00:00:00+00:00,Eagles,10,14,Falcons
1979,3,1979-09-16T00:00:00+00:00,Bengals,14,20,Patriots
1979,3,1979-09-16T00:00:00+00:00,Browns,13,10,Colts
1979,3,1979-09-16T00:00:00+00:00,Cardinals,21,24,Steelers
1979,3,1979-09-16T00:00:00+00:00,Chargers,27,19,Bills
1979,3,1979-09-16T00:00:00+00:00,Cowboys,24,20,Bears
1979,3,1979-09-16T00:00:00+00:00,Falcons,17,20,Broncos
1979,3,1979-09-16T00:00:00+00:00,Jets,31,10,Lions
1979,3,1979-09-16T00:00:00+00:00,Oilers,20,6,Chiefs
1979,3,1979-09-16T00:00:00+00:00,Packers,10,21,Buccaneers
1979,3,1979-09-16T00:00:00+00:00,Rams,27,24,49ers
1979,3,1979-09-16T00:00:00+00:00,Saints,14,26,Eagles
1979,3,1979-09-16T00:00:00+00:00,Seahawks,27,10,Raiders
1979,3,1979-09-16T00:00:00+00:00,Vikings,12,27,Dolphins
