season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1972,1,1972-09-17T11:00:00-05:00,Chiefs,10,20,Dolphins
1972,2,1972-09-24T11:00:00-05:00,Dolphins,34,13,Oilers
1972,3,1972-10-01T11:00:00-05:00,Vikings,14,16,Dolphins
1972,4,1972-10-08T11:00:00-05:00,Jets,17,27,Dolphins
1972,5,1972-10-15T11:00:00-05:00,Dolphins,24,10,Chargers
1972,6,1972-10-22T11:00:00-05:00,Dolphins,24,23,Bills
1972,7,1972-10-29T11:00:00-05:00,Colts,0,23,Dolphins
1972,8,1972-11-05T11:00:00-05:00,Bills,16,30,Dolphins
1972,9,1972-11-12T11:00:00-05:00,Dolphins,52,0,Patriots
1972,10,1972-11-19T11:00:00-05:00,Dolphins,28,24,Jets
1972,11,1972-11-27T11:00:00-05:00,Dolphins,31,10,Cardinals
1972,12,1972-12-03T11:00:00-05:00,Patriots,21,37,Dolphins
1972,13,1972-12-10T11:00:00-05:00,Giants,13,23,Dolphins
1972,14,1972-12-16T11:00:00-05:00,Dolphins,16,0,Colts
1972,15,1972-12-24T11:00:00-05:00,Dolphins,20,14,Browns
1972,16,1972-12-31T11:00:00-05:00,Steelers,17,21,Dolphins
1972,17,1973-01-14T11:00:00-05:00,Dolphins,14,7,Redskins
