season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1986,1,1986-09-07T00:00:00+00:00,Bears,41,31,Browns
1986,1,1986-09-07T00:00:00+00:00,Bills,24,28,Jets
1986,1,1986-09-07T00:00:00+00:00,Broncos,38,36,Raiders
1986,1,1986-09-07T00:00:00+00:00,Buccaneers,7,31,49ers
1986,1,1986-09-07T00:00:00+00:00,Cardinals,10,16,Rams
1986,1,1986-09-07T00:00:00+00:00,Chargers,50,28,Dolphins
1986,1,1986-09-07T00:00:00+00:00,Chiefs,24,14,Bengals
1986,1,1986-09-07T00:00:00+00:00,Packers,3,31,Oilers
1986,1,1986-09-07T00:00:00+00:00,Patriots,33,3,Colts
1986,1,1986-09-07T00:00:00+00:00,Redskins,41,14,Eagles
1986,1,1986-09-07T00:00:00+00:00,Saints,10,31,Falcons
1986,1,1986-09-07T00:00:00+00:00,Seahawks,30,0,Steelers
1986,1,1986-09-07T00:00:00+00:00,Vikings,10,13,Lions
1986,1,1986-09-08T00:00:00+00:00,Cowboys,31,28,Giants
1986,2,1986-09-11T00:00:00+00:00,Jets,6,20,Patriots
1986,2,1986-09-14T00:00:00+00:00,Bears,13,10,Eagles
1986,2,1986-09-14T00:00:00+00:00,Bengals,36,33,Bills
1986,2,1986-09-14T00:00:00+00:00,Buccaneers,10,23,Vikings
1986,2,1986-09-14T00:00:00+00:00,Dolphins,30,10,Colts
1986,2,1986-09-14T00:00:00+00:00,Falcons,33,13,Cardinals
1986,2,1986-09-14T00:00:00+00:00,Giants,20,7,Chargers
1986,2,1986-09-14T00:00:00+00:00,Lions,7,31,Cowboys
1986,2,1986-09-14T00:00:00+00:00,Oilers,20,23,Browns
1986,2,1986-09-14T00:00:00+00:00,Rams,16,13,49ers
1986,2,1986-09-14T00:00:00+00:00,Redskins,10,6,Raiders
1986,2,1986-09-14T00:00:00+00:00,Saints,24,10,Packers
1986,2,1986-09-14T00:00:00+00:00,Seahawks,23,17,Chiefs
1986,2,1986-09-15T00:00:00+00:00,Steelers,10,21,Broncos
1986,3,1986-09-18T00:00:00+00:00,Browns,13,30,Bengals
1986,3,1986-09-21T00:00:00+00:00,49ers,26,17,Saints
1986,3,1986-09-21T00:00:00+00:00,Bills,17,10,Cardinals
1986,3,1986-09-21T00:00:00+00:00,Chargers,27,30,Redskins
1986,3,1986-09-21T00:00:00+00:00,Chiefs,24,13,Oilers
1986,3,1986-09-21T00:00:00+00:00,Colts,7,24,Rams
1986,3,1986-09-21T00:00:00+00:00,Cowboys,35,37,Falcons
1986,3,1986-09-21T00:00:00+00:00,Eagles,7,33,Broncos
1986,3,1986-09-21T00:00:00+00:00,Jets,51,45,Dolphins
1986,3,1986-09-21T00:00:00+00:00,Lions,20,24,Buccaneers
1986,3,1986-09-21T00:00:00+00:00,Patriots,31,38,Seahawks
1986,3,1986-09-21T00:00:00+00:00,Raiders,9,14,Giants
1986,3,1986-09-21T00:00:00+00:00,Vikings,31,7,Steelers
1986,3,1986-09-22T00:00:00+00:00,Packers,12,25,Bears
1986,4,1986-09-28T00:00:00+00:00,Bengals,7,44,Bears
1986,4,1986-09-28T00:00:00+00:00,Bills,17,20,Chiefs
1986,4,1986-09-28T00:00:00+00:00,Broncos,27,20,Patriots
1986,4,1986-09-28T00:00:00+00:00,Browns,24,21,Lions
1986,4,1986-09-28T00:00:00+00:00,Buccaneers,20,23,Falcons
1986,4,1986-09-28T00:00:00+00:00,Colts,7,26,Jets
1986,4,1986-09-28T00:00:00+00:00,Dolphins,16,31,49ers
1986,4,1986-09-28T00:00:00+00:00,Eagles,34,20,Rams
1986,4,1986-09-28T00:00:00+00:00,Giants,20,17,Saints
1986,4,1986-09-28T00:00:00+00:00,Oilers,16,22,Steelers
1986,4,1986-09-28T00:00:00+00:00,Raiders,17,13,Chargers
1986,4,1986-09-28T00:00:00+00:00,Redskins,19,14,Seahawks
1986,4,1986-09-28T00:00:00+00:00,Vikings,42,7,Packers
1986,4,1986-09-29T00:00:00+00:00,Cardinals,7,31,Cowboys
1986,5,1986-10-05T00:00:00+00:00,49ers,35,14,Colts
1986,5,1986-10-05T00:00:00+00:00,Bears,23,0,Vikings
1986,5,1986-10-05T00:00:00+00:00,Broncos,29,14,Cowboys
1986,5,1986-10-05T00:00:00+00:00,Cardinals,6,13,Giants
1986,5,1986-10-05T00:00:00+00:00,Chiefs,17,24,Raiders
1986,5,1986-10-05T00:00:00+00:00,Falcons,0,16,Eagles
1986,5,1986-10-05T00:00:00+00:00,Jets,14,13,Bills
1986,5,1986-10-05T00:00:00+00:00,Lions,24,13,Oilers
1986,5,1986-10-05T00:00:00+00:00,Packers,28,34,Bengals
1986,5,1986-10-05T00:00:00+00:00,Patriots,34,7,Dolphins
1986,5,1986-10-05T00:00:00+00:00,Rams,26,20,Buccaneers
1986,5,1986-10-05T00:00:00+00:00,Saints,6,14,Redskins
1986,5,1986-10-05T00:00:00+00:00,Steelers,24,27,Browns
1986,5,1986-10-06T00:00:00+00:00,Seahawks,33,7,Chargers
1986,6,1986-10-12T00:00:00+00:00,49ers,24,27,Vikings
1986,6,1986-10-12T00:00:00+00:00,Browns,20,7,Chiefs
1986,6,1986-10-12T00:00:00+00:00,Buccaneers,19,30,Cardinals
1986,6,1986-10-12T00:00:00+00:00,Chargers,14,31,Broncos
1986,6,1986-10-12T00:00:00+00:00,Colts,14,17,Saints
1986,6,1986-10-12T00:00:00+00:00,Cowboys,30,6,Redskins
1986,6,1986-10-12T00:00:00+00:00,Dolphins,27,14,Bills
