season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1988,1,1988-09-04T00:00:00+00:00,Bears,34,7,Dolphins
1988,1,1988-09-04T00:00:00+00:00,Bengals,21,14,Cardinals
1988,1,1988-09-04T00:00:00+00:00,Bills,13,10,Vikings
1988,1,1988-09-04T00:00:00+00:00,Broncos,14,21,Seahawks
1988,1,1988-09-04T00:00:00+00:00,Buccaneers,14,41,Eagles
1988,1,1988-09-04T00:00:00+00:00,Chiefs,3,6,Browns
1988,1,1988-09-04T00:00:00+00:00,Colts,14,17,Oilers
1988,1,1988-09-04T00:00:00+00:00,Lions,31,17,Falcons
1988,1,1988-09-04T00:00:00+00:00,Packers,7,34,Rams
1988,1,1988-09-04T00:00:00+00:00,Patriots,28,3,Jets
1988,1,1988-09-04T00:00:00+00:00,Raiders,24,13,Chargers
1988,1,1988-09-04T00:00:00+00:00,Saints,33,34,49ers
1988,1,1988-09-04T00:00:00+00:00,Steelers,24,21,Cowboys
1988,1,1988-09-05T00:00:00+00:00,Giants,27,20,Redskins
1988,2,1988-09-11T00:00:00+00:00,Bills,9,6,Dolphins
1988,2,1988-09-11T00:00:00+00:00,Broncos,34,3,Chargers
1988,2,1988-09-11T00:00:00+00:00,Browns,3,23,Jets
1988,2,1988-09-11T00:00:00+00:00,Colts,13,17,Bears
1988,2,1988-09-11T00:00:00+00:00,Eagles,24,28,Bengals
1988,2,1988-09-11T00:00:00+00:00,Falcons,21,29,Saints
1988,2,1988-09-11T00:00:00+00:00,Giants,17,20,49ers
1988,2,1988-09-11T00:00:00+00:00,Oilers,38,35,Raiders
1988,2,1988-09-11T00:00:00+00:00,Packers,10,13,Buccaneers
1988,2,1988-09-11T00:00:00+00:00,Rams,17,10,Lions
1988,2,1988-09-11T00:00:00+00:00,Redskins,30,29,Steelers
1988,2,1988-09-11T00:00:00+00:00,Seahawks,31,10,Chiefs
1988,2,1988-09-11T00:00:00+00:00,Vikings,36,6,Patriots
1988,2,1988-09-12T00:00:00+00:00,Cardinals,14,17,Cowboys
1988,3,1988-09-18T00:00:00+00:00,49ers,17,34,Falcons
1988,3,1988-09-18T00:00:00+00:00,Bears,7,31,Vikings
1988,3,1988-09-18T00:00:00+00:00,Buccaneers,24,30,Cardinals
1988,3,1988-09-18T00:00:00+00:00,Chargers,17,6,Seahawks
1988,3,1988-09-18T00:00:00+00:00,Chiefs,20,13,Broncos
1988,3,1988-09-18T00:00:00+00:00,Cowboys,10,12,Giants
1988,3,1988-09-18T00:00:00+00:00,Dolphins,24,17,Packers
1988,3,1988-09-18T00:00:00+00:00,Jets,45,3,Oilers
1988,3,1988-09-18T00:00:00+00:00,Lions,14,22,Saints
1988,3,1988-09-18T00:00:00+00:00,Patriots,14,16,Bills
1988,3,1988-09-18T00:00:00+00:00,Raiders,17,22,Rams
1988,3,1988-09-18T00:00:00+00:00,Redskins,17,10,Eagles
1988,3,1988-09-18T00:00:00+00:00,Steelers,12,17,Bengals
1988,3,1988-09-19T00:00:00+00:00,Browns,23,17,Colts
1988,4,1988-09-25T00:00:00+00:00,Bengals,24,17,Browns
1988,4,1988-09-25T00:00:00+00:00,Bills,36,28,Steelers
1988,4,1988-09-25T00:00:00+00:00,Cardinals,30,21,Redskins
1988,4,1988-09-25T00:00:00+00:00,Chiefs,23,24,Chargers
1988,4,1988-09-25T00:00:00+00:00,Colts,15,13,Dolphins
1988,4,1988-09-25T00:00:00+00:00,Cowboys,26,20,Falcons
1988,4,1988-09-25T00:00:00+00:00,Giants,31,45,Rams
1988,4,1988-09-25T00:00:00+00:00,Lions,10,17,Jets
1988,4,1988-09-25T00:00:00+00:00,Oilers,31,6,Patriots
1988,4,1988-09-25T00:00:00+00:00,Packers,6,24,Bears
1988,4,1988-09-25T00:00:00+00:00,Saints,13,9,Buccaneers
1988,4,1988-09-25T00:00:00+00:00,Seahawks,7,38,49ers
1988,4,1988-09-25T00:00:00+00:00,Vikings,23,21,Eagles
1988,4,1988-09-26T00:00:00+00:00,Broncos,27,30,Raiders
1988,5,1988-10-02T00:00:00+00:00,49ers,20,13,Lions
1988,5,1988-10-02T00:00:00+00:00,Bears,24,3,Bills
1988,5,1988-10-02T00:00:00+00:00,Buccaneers,27,24,Packers
