season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1978,1,1978-09-02T00:00:00+00:00,Buccaneers,13,19,Giants
1978,1,1978-09-03T00:00:00+00:00,Bears,17,10,Cardinals
1978,1,1978-09-03T00:00:00+00:00,Bengals,23,24,Chiefs
1978,1,1978-09-03T00:00:00+00:00,Bills,17,28,Steelers
1978,1,1978-09-03T00:00:00+00:00,Broncos,14,6,Raiders
1978,1,1978-09-03T00:00:00+00:00,Browns,24,7,49ers
1978,1,1978-09-03T00:00:00+00:00,Eagles,14,16,Rams
1978,1,1978-09-03T00:00:00+00:00,Falcons,20,14,Oilers
1978,1,1978-09-03T00:00:00+00:00,Jets,33,20,Dolphins
1978,1,1978-09-03T00:00:00+00:00,Lions,7,13,Packers
1978,1,1978-09-03T00:00:00+00:00,Patriots,14,16,Redskins
1978,1,1978-09-03T00:00:00+00:00,Saints,31,24,Vikings
1978,1,1978-09-03T00:00:00+00:00,Seahawks,20,24,Chargers
1978,1,1978-09-04T00:00:00+00:00,Cowboys,38,0,Colts
1978,2,1978-09-09T00:00:00+00:00,Buccaneers,7,15,Lions
1978,2,1978-09-10T00:00:00+00:00,49ers,13,16,Bears
1978,2,1978-09-10T00:00:00+00:00,Bills,20,21,Jets
1978,2,1978-09-10T00:00:00+00:00,Browns,13,10,Bengals
1978,2,1978-09-10T00:00:00+00:00,Cardinals,6,16,Patriots
1978,2,1978-09-10T00:00:00+00:00,Chargers,20,21,Raiders
1978,2,1978-09-10T00:00:00+00:00,Chiefs,17,20,Oilers
1978,2,1978-09-10T00:00:00+00:00,Colts,0,42,Dolphins
1978,2,1978-09-10T00:00:00+00:00,Giants,24,34,Cowboys
1978,2,1978-09-10T00:00:00+00:00,Packers,28,17,Saints
1978,2,1978-09-10T00:00:00+00:00,Rams,10,0,Falcons
1978,2,1978-09-10T00:00:00+00:00,Redskins,35,30,Eagles
1978,2,1978-09-10T00:00:00+00:00,Steelers,21,10,Seahawks
1978,2,1978-09-11T00:00:00+00:00,Vikings,12,9,Broncos
1978,3,1978-09-17T00:00:00+00:00,Bengals,3,28,Steelers
1978,3,1978-09-17T00:00:00+00:00,Broncos,27,14,Chargers
1978,3,1978-09-17T00:00:00+00:00,Cardinals,10,28,Redskins
1978,3,1978-09-17T00:00:00+00:00,Dolphins,31,24,Bills
1978,3,1978-09-17T00:00:00+00:00,Falcons,16,24,Browns
1978,3,1978-09-17T00:00:00+00:00,Giants,26,10,Chiefs
1978,3,1978-09-17T00:00:00+00:00,Jets,17,24,Seahawks
1978,3,1978-09-17T00:00:00+00:00,Lions,0,19,Bears
1978,3,1978-09-17T00:00:00+00:00,Oilers,20,19,49ers
1978,3,1978-09-17T00:00:00+00:00,Packers,3,28,Raiders
1978,3,1978-09-17T00:00:00+00:00,Rams,27,14,Cowboys
1978,3,1978-09-17T00:00:00+00:00,Saints,17,24,Eagles
1978,3,1978-09-17T00:00:00+00:00,Vikings,10,16,Buccaneers
