season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2000,1,2000-09-03T00:00:00+00:00,Bills,16,13,Titans
2000,1,2000-09-03T00:00:00+00:00,Browns,7,27,Jaguars
2000,1,2000-09-03T00:00:00+00:00,Chiefs,14,27,Colts
2000,1,2000-09-03T00:00:00+00:00,Cowboys,14,41,Eagles
2000,1,2000-09-03T00:00:00+00:00,Dolphins,23,0,Seahawks
2000,1,2000-09-03T00:00:00+00:00,Falcons,36,28,49ers
2000,1,2000-09-03T00:00:00+00:00,Giants,21,16,Cardinals
2000,1,2000-09-03T00:00:00+00:00,Packers,16,20,Jets
2000,1,2000-09-03T00:00:00+00:00,Patriots,16,21,Buccaneers
2000,1,2000-09-03T00:00:00+00:00,Raiders,9,6,Chargers
2000,1,2000-09-03T00:00:00+00:00,Redskins,20,17,Panthers
2000,1,2000-09-03T00:00:00+00:00,Saints,10,14,Lions
2000,1,2000-09-03T00:00:00+00:00,Steelers,0,16,Ravens
2000,1,2000-09-03T00:00:00+00:00,Vikings,30,27,Bears
2000,1,2000-09-04T00:00:00+00:00,Rams,41,36,Broncos
2000,2,2000-09-10T00:00:00+00:00,49ers,22,38,Panthers
2000,2,2000-09-10T00:00:00+00:00,Bengals,7,24,Browns
2000,2,2000-09-10T00:00:00+00:00,Bills,27,18,Packers
2000,2,2000-09-10T00:00:00+00:00,Broncos,42,14,Falcons
2000,2,2000-09-10T00:00:00+00:00,Buccaneers,41,0,Bears
2000,2,2000-09-10T00:00:00+00:00,Cardinals,32,31,Cowboys
2000,2,2000-09-10T00:00:00+00:00,Chargers,27,28,Saints
2000,2,2000-09-10T00:00:00+00:00,Colts,31,38,Raiders
2000,2,2000-09-10T00:00:00+00:00,Eagles,18,33,Giants
2000,2,2000-09-10T00:00:00+00:00,Lions,15,10,Redskins
2000,2,2000-09-10T00:00:00+00:00,Ravens,39,36,Jaguars
2000,2,2000-09-10T00:00:00+00:00,Seahawks,34,37,Rams
2000,2,2000-09-10T00:00:00+00:00,Titans,17,14,Chiefs
2000,2,2000-09-10T00:00:00+00:00,Vikings,13,7,Dolphins
2000,2,2000-09-11T00:00:00+00:00,Jets,20,19,Patriots
2000,3,2000-09-17T00:00:00+00:00,Bears,7,14,Giants
2000,3,2000-09-17T00:00:00+00:00,Browns,23,20,Steelers
2000,3,2000-09-17T00:00:00+00:00,Chiefs,42,10,Chargers
2000,3,2000-09-17T00:00:00+00:00,Dolphins,19,6,Ravens
2000,3,2000-09-17T00:00:00+00:00,Jaguars,13,0,Bengals
2000,3,2000-09-17T00:00:00+00:00,Jets,27,14,Bills
2000,3,2000-09-17T00:00:00+00:00,Lions,10,31,Buccaneers
2000,3,2000-09-17T00:00:00+00:00,Packers,6,3,Eagles
2000,3,2000-09-17T00:00:00+00:00,Panthers,10,15,Falcons
2000,3,2000-09-17T00:00:00+00:00,Patriots,13,21,Vikings
2000,3,2000-09-17T00:00:00+00:00,Raiders,24,33,Broncos
2000,3,2000-09-17T00:00:00+00:00,Rams,41,24,49ers
2000,3,2000-09-17T00:00:00+00:00,Seahawks,20,10,Saints
2000,3,2000-09-18T00:00:00+00:00,Redskins,21,27,Cowboys
2000,4,2000-09-24T00:00:00+00:00,Bears,14,21,Lions
2000,4,2000-09-24T00:00:00+00:00,Broncos,22,23,Chiefs
2000,4,2000-09-24T00:00:00+00:00,Buccaneers,17,21,Jets
2000,4,2000-09-24T00:00:00+00:00,Cardinals,3,29,Packers
2000,4,2000-09-24T00:00:00+00:00,Chargers,12,20,Seahawks
2000,4,2000-09-24T00:00:00+00:00,Cowboys,24,41,49ers
2000,4,2000-09-24T00:00:00+00:00,Dolphins,10,3,Patriots
2000,4,2000-09-24T00:00:00+00:00,Falcons,20,41,Rams
2000,4,2000-09-24T00:00:00+00:00,Giants,6,16,Redskins
2000,4,2000-09-24T00:00:00+00:00,Raiders,36,10,Browns
2000,4,2000-09-24T00:00:00+00:00,Ravens,37,0,Bengals
2000,4,2000-09-24T00:00:00+00:00,Saints,7,21,Eagles
2000,4,2000-09-24T00:00:00+00:00,Steelers,20,23,Titans
2000,4,2000-09-25T00:00:00+00:00,Colts,43,14,Jaguars
2000,5,2000-10-01T00:00:00+00:00,49ers,27,20,Cardinals
2000,5,2000-10-01T00:00:00+00:00,Bengals,16,31,Dolphins
2000,5,2000-10-01T00:00:00+00:00,Bills,16,18,Colts
2000,5,2000-10-01T00:00:00+00:00,Broncos,19,28,Patriots
2000,5,2000-10-01T00:00:00+00:00,Browns,0,12,Ravens
2000,5,2000-10-01T00:00:00+00:00,Eagles,38,10,Falcons
